timestamp(ms),navlooprate,MP uptime,NAV uptime,MISSIONTIME,accel x,accel y,accel z,mag x,mag y,mag z,accelabs,highaccel x,highaccel y,highaccel z,highaccelabs,accelworld x,accelworld y,accelworld z,gyro x,gyro y,gyro z,altitude,verticalvel,filtered vvel,filtered accel,orientation pitch,orientation yaw,orientation roll,maxrecorded alt,filtered alt,state ,altitudeagl ,battery vol ,baro temp ,pyro cont ,pyros fired ,pyro state,covarience x,covarience y,covarience z,
"1779660680.271",,,,,,,,,,,,,,,,,,,,,,,,"1.376264","0.118849","10.111883",,,,,,,,,,,,,,,
"1779660680.272",,,,,,,,,,,,,,,,,,,,,,,,,,,"-4.05157","-38.602214","0.83487",,,,,,,,,,,,
"1779660680.275",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.615885","0","0.428589","8.5",,,,,,,,
"1779660680.276",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.253027","0","0","0",,,,
"1779660680.278",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000957","0.000205","0.000335",
"1779660680.279",,"16993","16971","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.281",,,,,"-6.195467","7.549969","-1.734447",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.284",,,,,,,,"8.009354","-46.126862","74.510376","9.919382",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.285",,,,,,,,,,,,"4.324733","-7.207888","-12.013146",,,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.286",,,,,,,,,,,,,,,"14.661945","-0.048505","-0.044852",,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.287",,,,,,,,,,,,,,,,,,"0.118163","-0.905388","0.620447",,,,,,,,,,,,,,,,,,,,,
"1779660680.288",,,,,,,,,,,,,,,,,,,,,"0.034125","1970.467529","0.322468",,,,,,,,,,,,,,,,,,
"1779660680.289",,,,,,,,,,,,,,,,,,,,,,,,"1.373968","0.139364","10.37543",,,,,,,,,,,,,,,
"1779660680.291",,,,,,,,,,,,,,,,,,,,,,,,,,,"-4.07416","-38.362051","0.83487",,,,,,,,,,,,
"1779660680.292",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.605838",,,,,,,,,,,
"1779660680.293",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0.378784","8.5",,,,,,,,
"1779660680.294",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"24.257511","0","0","0",,,,
"1779660680.296",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000957","0.000204",,
"1779660680.297",,"16971","16971","0","-6.197723","7.58196","-1.708809","7.921661","-46.024555",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0.000335",
"1779660680.298",,,,,,,,,,"74.700378","9.94072","2.883155","-6.727362","-12.013146","14.067184",,,,,,,,,,,,,,,,,,,,,,,,,,
"1779660680.299",,,,,,,,,,,,,,,,"-0.031715","-0.077005","0.139371","0.798888","2.979642","0.113749","1970.257324",,,,,,,,,,,,,,,,,,,
