rkf,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,yaw,pitch,roll,imutemp,pressure,altitude,bmptemp,verticalvelocity,apoogee,state,uptime(milliseconds),errorflag
0,    2.4178,    0.2830,    9.5852,   -0.9725,    0.2538,    1.0691,  -10.2913,   54.8716,   95.9125,   40.2500,87775.3125,    0.5930,   42.8851,   -0.0737,    1.0397,1,369737,1
0,    2.4135,    0.3137,    9.5789,   -1.2943,    1.8192,    1.3113,  -10.3254,   54.8527,   96.0013,   40.2500,87773.5000,    0.7628,   42.8944,    0.3268,    0.7628,1,369850,1
0,    2.4170,    0.3028,    9.5901,    0.1709,    0.0928,    0.4421,  -10.4416,   54.8178,   96.1362,   40.2500,87773.4141,    0.7707,   42.8991,   -0.0371,    0.8862,1,369964,1
0,    2.4344,    0.3359,    9.5540,   -0.4687,    1.0631,   -0.5772,  -10.5177,   54.8658,   96.0499,   40.2500,87776.3125,    0.4996,   42.8991,   -0.1305,    0.8862,1,370077,1
0,    2.4177,    0.3319,    9.5549,   -1.6580,   -0.5738,   -0.7009,  -10.6544,   54.8817,   95.9487,   40.2500,87775.0547,    0.6174,   42.8991,   -0.2131,    0.8862,1,370189,1
0,    2.4248,    0.3004,    9.5823,    1.0828,    1.4849,   -0.3457,  -10.4950,   55.0432,   95.9768,   40.2500,87773.8047,    0.7340,   42.8991,    0.0130,    0.8862,1,370304,1
0,    2.4290,    0.2960,    9.5805,    2.1454,    0.7926,   -0.0065,  -10.4761,   55.1085,   95.9790,   40.2500,87773.3359,    0.7781,   42.9038,    0.4841,    0.8862,1,370416,1
0,    2.4327,    0.3193,    9.5704,   -2.1299,   -0.9062,   -0.6611,  -10.6010,   55.1146,   96.0000,   40.2500,87772.6875,    0.8387,   42.9085,    0.5142,    0.8862,1,370529,1
0,    2.4187,    0.3074,    9.5609,    1.0988,    0.1168,    0.0403,  -10.5595,   54.9837,   96.1406,   40.2500,87775.1016,    0.6128,   42.8991,    0.0919,    0.8862,1,370643,1
0,    2.4115,    0.3229,    8.5972,   -1.8968,   -1.9166,    0.4512,  -10.6485,   54.8857,   96.0821,   40.2500,87771.5234,    0.9474,   42.9085,    0.7127,    0.8862,1,370756,1
0,    2.4235,    0.2715,    9.5504,    1.4662,    0.5230,    2.5600,  -10.4858,   54.8822,   96.1307,   40.2500,87774.1953,    0.6977,   42.8991,    0.1744,    0.8862,1,370869,1
0,    2.4087,    0.2989,    9.5769,    0.4036,    0.4864,    0.2458,  -10.4935,   54.8762,   96.2555,   40.2500,87773.9375,    0.7215,   42.9038,    0.4656,    0.8862,1,370983,1
0,    2.4011,    0.3053,    9.5832,   -0.7044,   -1.4573,    0.9697,  -10.4335,   54.7048,   96.3439,   40.1250,87773.3828,    0.7735,   42.9085,   -0.1255,    0.8862,1,371096,1
0,    2.4190,    0.3241,    9.5512,    0.4575,    0.2175,   -0.0898,  -10.4425,   54.7652,   96.2883,   40.1250,87773.6797,    0.7453,   42.9131,    0.2295,    0.8862,1,371208,1
0,    2.4309,    0.3061,    9.5691,   -0.8906,   -0.6299,    1.1434,  -10.4721,   54.6858,   96.3959,   40.1250,87772.9922,    0.8098,   42.9131,    0.3004,    0.8098,1,371322,1
0,    2.4071,    0.3416,    9.5944,   -0.1900,   -0.9008,   -0.7900,  -10.4811,   54.6009,   96.3511,   40.1250,87776.1484,    0.5149,   42.9131,   -0.4942,    0.8415,1,371435,1
0,    2.4319,    0.2728,    9.5748,    0.2845,   -0.0320,   -2.1033,  -10.5313,   54.5434,   96.3019,   40.1250,87773.4297,    0.7690,   42.9085,   -0.1328,    0.8415,1,371548,1
0,    2.4302,    0.2987,    9.5785,   -0.8240,   -1.0280,    0.2517,  -10.6913,   54.5208,   96.2774,   40.1250,87775.5391,    0.5721,   42.9178,   -0.5965,    0.8415,1,371662,1
0,    2.4048,    0.2938,    9.5713,   -1.1207,    0.7235,   -0.0640,  -10.8888,   54.6328,   96.2634,   40.1250,87773.4688,    0.7656,   42.9178,    0.3693,    0.8415,1,371775,1
0,    2.4208,    0.3170,    9.5657,    0.6706,   -1.1864,    0.0329,  -10.8130,   54.6415,   96.2220,   40.1250,87774.9844,    0.6241,   42.9271,   -0.4439,    1.0107,1,371887,1
0,    2.4131,    0.3198,    9.5656,   -0.7334,   -1.1871,    0.9815,  -10.8644,   54.5582,   96.2908,   40.1250,87775.4688,    0.5783,   42.8851,   -0.3554,    1.0107,1,371957,1
0,    2.3978,    0.2783,    9.5881,   -0.5058,    0.2715,   -1.5533,  -10.9347,   54.5536,   96.2447,   40.1250,87774.8438,    0.6372,   42.9131,   -0.2104,    1.0107,1,372070,1
0,    2.3849,    0.2748,    9.5599,    0.5499,   -1.1115,   -1.2698,  -10.9822,   54.4487,   96.1982,   40.1250,87770.6641,    1.0272,   42.9178,    0.1598,    1.0272,1,372183,1
0,    2.4093,    0.2568,    9.5605,    0.4262,    0.5420,   -0.5199,  -11.0123,   54.5223,   96.1430,   40.1250,87775.6328,    0.5630,   42.9225,    0.3607,    1.0272,1,372297,1
0,    2.3974,    0.3052,    9.5786,    0.1258,    1.3068,    0.1150,  -10.9755,   54.6211,   96.1901,   40.2500,87771.9609,    0.9066,   42.9178,    0.8453,    1.0272,1,372410,1
0,    2.4123,    0.2992,    9.5544,    0.9945,    1.3523,   -1.2519,  -10.8328,   54.7909,   96.1166,   40.2500,87773.2188,    0.7889,   42.9271,   -0.1248,    1.0272,1,372522,1
0,    2.4278,    0.3200,    9.5641,   -0.3091,   -0.4733,   -0.1267,  -10.8933,   54.7102,   96.2324,   40.2500,87775.1172,    0.6117,   42.9318,    0.1958,    1.0272,1,372637,1
0,    2.4413,    0.3043,    9.5725,   -0.1988,    0.6558,   -0.0445,  -10.9478,   54.6726,   96.2239,   40.2500,87777.2813,    0.4090,   42.9271,   -0.8367,    1.0272,1,372749,1
0,    2.4114,    0.2966,    9.5724,   -0.2173,    0.3595,   -1.0911,  -10.8179,   54.6502,   96.1831,   40.2500,87774.8125,    0.6400,   42.9225,   -0.4201,    1.0272,1,372862,1
0,    2.4373,    0.3191,    9.5620,    2.3277,    0.0587,    1.0602,  -10.8581,   54.5532,   96.2255,   40.2500,87774.6016,    0.6593,   42.9225,   -0.0785,    0.7396,1,372976,1
0,    2.4383,    0.3111,    9.5625,    0.3731,    0.5012,   -0.8775,  -10.8231,   54.5266,   96.1990,   40.2500,87773.5625,    0.7572,   42.9271,    0.5027,    0.7572,1,373089,1
0,    2.4219,    0.3285,    9.5628,    0.2388,    0.6143,   -0.6820,  -10.8735,   54.6337,   96.0714,   40.2500,87775.0703,    0.6157,   42.9271,   -0.2059,    0.9094,1,373201,1
0,    2.4358,    0.2884,    9.5644,    0.8552,   -0.2035,    0.9239,  -10.9364,   54.5435,   96.1373,   40.2500,87775.2109,    0.6020,   42.9365,   -0.2155,    0.9094,1,373316,1
